schema_name,table_name,column_ordinal,column_name,data_type,nullable,m1_4_dependency
msbf_ctl,acceptance_gate_result,1,run_id,bigint,False,Referenced by controlled M1.4 SQL
msbf_ctl,acceptance_gate_result,2,gate_id,text,False,Referenced by controlled M1.4 SQL
msbf_ctl,acceptance_gate_result,3,review_version,integer,False,Referenced by controlled M1.4 SQL
msbf_ctl,acceptance_gate_result,4,result_status,text,False,Referenced by controlled M1.4 SQL
msbf_ctl,acceptance_gate_result,5,observed_value,text,True,Referenced by controlled M1.4 SQL
msbf_ctl,acceptance_gate_result,6,threshold_value,text,True,Referenced by controlled M1.4 SQL
msbf_ctl,acceptance_gate_result,7,finding,text,True,Referenced by controlled M1.4 SQL
msbf_ctl,acceptance_gate_result,8,residual_limitation,text,True,Referenced by controlled M1.4 SQL
msbf_ctl,acceptance_gate_result,9,reviewer_role,text,False,Referenced by controlled M1.4 SQL
msbf_ctl,acceptance_gate_result,10,reviewed_at,timestamptz,False,Referenced by controlled M1.4 SQL
msbf_ctl,profile_resolution_error,1,resolution_error_id,bigint GENERATED ALWAYS AS IDENTITY,False,Referenced by controlled M1.4 SQL
msbf_ctl,profile_resolution_error,2,run_id,bigint,True,Referenced by controlled M1.4 SQL
msbf_ctl,profile_resolution_error,3,profile_domain,text,False,Referenced by controlled M1.4 SQL
msbf_ctl,profile_resolution_error,4,scope_key,text,False,Referenced by controlled M1.4 SQL
msbf_ctl,profile_resolution_error,5,error_code,text,False,Referenced by controlled M1.4 SQL
msbf_ctl,profile_resolution_error,6,severity,text,False,Referenced by controlled M1.4 SQL
msbf_ctl,profile_resolution_error,7,error_message,text,False,Referenced by controlled M1.4 SQL
msbf_ctl,profile_resolution_error,8,created_at,timestamptz,False,Referenced by controlled M1.4 SQL
msbf_ctl,run_evidence,1,run_id,bigint,False,Referenced by controlled M1.4 SQL
msbf_ctl,run_evidence,2,evidence_code,text,False,Referenced by controlled M1.4 SQL
msbf_ctl,run_evidence,3,segment_key,text,False,Referenced by controlled M1.4 SQL
msbf_ctl,run_evidence,4,metric_name,text,False,Referenced by controlled M1.4 SQL
msbf_ctl,run_evidence,5,metric_value_numeric,"numeric(24,10)",True,Referenced by controlled M1.4 SQL
msbf_ctl,run_evidence,6,metric_value_text,text,True,Referenced by controlled M1.4 SQL
msbf_ctl,run_evidence,7,unit_code,text,True,Referenced by controlled M1.4 SQL
msbf_ctl,run_evidence,8,status,text,False,Referenced by controlled M1.4 SQL
msbf_ctl,run_evidence,9,threshold_value_numeric,"numeric(24,10)",True,Referenced by controlled M1.4 SQL
msbf_ctl,run_evidence,10,interpretation,text,True,Referenced by controlled M1.4 SQL
msbf_ctl,run_evidence,11,created_at,timestamptz,False,Referenced by controlled M1.4 SQL
msbf_ctl,run_parameter_snapshot,1,run_id,bigint,False,Referenced by controlled M1.4 SQL
msbf_ctl,run_parameter_snapshot,2,parameter_name,text,False,Referenced by controlled M1.4 SQL
msbf_ctl,run_parameter_snapshot,3,scope_key,text,False,Referenced by controlled M1.4 SQL
msbf_ctl,run_parameter_snapshot,4,resolved_value,jsonb,False,Referenced by controlled M1.4 SQL
msbf_ctl,run_parameter_snapshot,5,resolution_rank,smallint,False,Referenced by controlled M1.4 SQL
msbf_ctl,run_parameter_snapshot,6,source_parameter_value_id,bigint,True,Referenced by controlled M1.4 SQL
msbf_ctl,run_parameter_snapshot,7,snapshot_hash,text,False,Referenced by controlled M1.4 SQL
msbf_ctl,run_profile_snapshot,1,run_id,bigint,False,Referenced by controlled M1.4 SQL
msbf_ctl,run_profile_snapshot,2,profile_domain,text,False,Referenced by controlled M1.4 SQL
msbf_ctl,run_profile_snapshot,3,profile_code,text,False,Referenced by controlled M1.4 SQL
msbf_ctl,run_profile_snapshot,4,profile_version,integer,False,Referenced by controlled M1.4 SQL
msbf_ctl,run_profile_snapshot,5,resolved_profile_id,bigint,False,Referenced by controlled M1.4 SQL
msbf_ctl,run_profile_snapshot,6,profile_hash,text,False,Referenced by controlled M1.4 SQL
msbf_ctl,run_profile_snapshot,7,snapshot_payload,jsonb,False,Referenced by controlled M1.4 SQL
msbf_ctl,run_profile_snapshot,8,created_at,timestamptz,False,Referenced by controlled M1.4 SQL
