relation_name,column_name,data_type,reference_scope
msbf_ctl.acceptance_gate_result,finding,text,Referenced upstream or control relation
msbf_ctl.acceptance_gate_result,gate_id,text,Referenced upstream or control relation
msbf_ctl.acceptance_gate_result,observed_value,text,Referenced upstream or control relation
msbf_ctl.acceptance_gate_result,residual_limitation,text,Referenced upstream or control relation
msbf_ctl.acceptance_gate_result,result_status,text,Referenced upstream or control relation
msbf_ctl.acceptance_gate_result,review_version,integer,Referenced upstream or control relation
msbf_ctl.acceptance_gate_result,reviewed_at,timestamptz,Referenced upstream or control relation
msbf_ctl.acceptance_gate_result,reviewer_role,text,Referenced upstream or control relation
msbf_ctl.acceptance_gate_result,run_id,bigint,Referenced upstream or control relation
msbf_ctl.acceptance_gate_result,threshold_value,text,Referenced upstream or control relation
msbf_ctl.deterministic_uniform,<catalog extension/current module>,,Referenced relation; detailed columns governed in module schema catalogs
msbf_ctl.policy_profile,approval_timestamp,timestamptz,Referenced upstream or control relation
msbf_ctl.policy_profile,approver_role,text,Referenced upstream or control relation
msbf_ctl.policy_profile,business_name,text,Referenced upstream or control relation
msbf_ctl.policy_profile,change_reason,text,Referenced upstream or control relation
msbf_ctl.policy_profile,created_at,timestamptz,Referenced upstream or control relation
msbf_ctl.policy_profile,created_by,text,Referenced upstream or control relation
msbf_ctl.policy_profile,effective_end_date,date,Referenced upstream or control relation
msbf_ctl.policy_profile,effective_start_date,date,Referenced upstream or control relation
msbf_ctl.policy_profile,last_review_date,date,Referenced upstream or control relation
msbf_ctl.policy_profile,next_review_date,date,Referenced upstream or control relation
msbf_ctl.policy_profile,operating_model_profile_id,bigint,Referenced upstream or control relation
msbf_ctl.policy_profile,owner_role,text,Referenced upstream or control relation
msbf_ctl.policy_profile,parameter_set_id,bigint,Referenced upstream or control relation
msbf_ctl.policy_profile,policy_domain,text,Referenced upstream or control relation
msbf_ctl.policy_profile,policy_profile_id,bigint GENERATED ALWAYS AS IDENTITY,Referenced upstream or control relation
msbf_ctl.policy_profile,product_structure_profile_id,bigint,Referenced upstream or control relation
msbf_ctl.policy_profile,profile_code,text,Referenced upstream or control relation
msbf_ctl.policy_profile,profile_payload,jsonb,Referenced upstream or control relation
msbf_ctl.policy_profile,profile_version,integer,Referenced upstream or control relation
msbf_ctl.policy_profile,status,text,Referenced upstream or control relation
msbf_ctl.profile_resolution_error,created_at,timestamptz,Referenced upstream or control relation
msbf_ctl.profile_resolution_error,error_code,text,Referenced upstream or control relation
msbf_ctl.profile_resolution_error,error_message,text,Referenced upstream or control relation
msbf_ctl.profile_resolution_error,profile_domain,text,Referenced upstream or control relation
msbf_ctl.profile_resolution_error,resolution_error_id,bigint GENERATED ALWAYS AS IDENTITY,Referenced upstream or control relation
msbf_ctl.profile_resolution_error,run_id,bigint,Referenced upstream or control relation
msbf_ctl.profile_resolution_error,scope_key,text,Referenced upstream or control relation
msbf_ctl.profile_resolution_error,severity,text,Referenced upstream or control relation
msbf_ctl.run_evidence,created_at,timestamptz,Referenced upstream or control relation
msbf_ctl.run_evidence,evidence_code,text,Referenced upstream or control relation
msbf_ctl.run_evidence,interpretation,text,Referenced upstream or control relation
msbf_ctl.run_evidence,metric_name,text,Referenced upstream or control relation
msbf_ctl.run_evidence,metric_value_numeric,"numeric(24,10)",Referenced upstream or control relation
msbf_ctl.run_evidence,metric_value_text,text,Referenced upstream or control relation
msbf_ctl.run_evidence,run_id,bigint,Referenced upstream or control relation
msbf_ctl.run_evidence,segment_key,text,Referenced upstream or control relation
msbf_ctl.run_evidence,status,text,Referenced upstream or control relation
msbf_ctl.run_evidence,threshold_value_numeric,"numeric(24,10)",Referenced upstream or control relation
msbf_ctl.run_evidence,unit_code,text,Referenced upstream or control relation
msbf_ctl.run_registry,as_of_date,date,Referenced upstream or control relation
msbf_ctl.run_registry,code_version,text,Referenced upstream or control relation
msbf_ctl.run_registry,completed_at,timestamptz,Referenced upstream or control relation
msbf_ctl.run_registry,contract_id,bigint,Referenced upstream or control relation
msbf_ctl.run_registry,created_at,timestamptz,Referenced upstream or control relation
msbf_ctl.run_registry,jurisdiction_profile_id,bigint,Referenced upstream or control relation
msbf_ctl.run_registry,module_code,text,Referenced upstream or control relation
msbf_ctl.run_registry,notes,text,Referenced upstream or control relation
msbf_ctl.run_registry,operating_model_profile_id,bigint,Referenced upstream or control relation
msbf_ctl.run_registry,parameter_set_id,bigint,Referenced upstream or control relation
msbf_ctl.run_registry,parameter_snapshot_hash,text,Referenced upstream or control relation
msbf_ctl.run_registry,policy_profile_id,bigint,Referenced upstream or control relation
msbf_ctl.run_registry,population_id,text,Referenced upstream or control relation
msbf_ctl.run_registry,product_structure_profile_id,bigint,Referenced upstream or control relation
msbf_ctl.run_registry,profile_snapshot_hash,text,Referenced upstream or control relation
msbf_ctl.run_registry,row_count,bigint,Referenced upstream or control relation
msbf_ctl.run_registry,run_code,text,Referenced upstream or control relation
msbf_ctl.run_registry,run_id,bigint GENERATED ALWAYS AS IDENTITY,Referenced upstream or control relation
msbf_ctl.run_registry,run_status,text,Referenced upstream or control relation
msbf_ctl.run_registry,run_type,text,Referenced upstream or control relation
msbf_ctl.run_registry,run_version,integer,Referenced upstream or control relation
msbf_ctl.run_registry,scenario_id,bigint,Referenced upstream or control relation
msbf_ctl.run_registry,source_snapshot_hash,text,Referenced upstream or control relation
msbf_ctl.run_registry,started_at,timestamptz,Referenced upstream or control relation
msbf_ctl.run_registry,strategy_profile_id,bigint,Referenced upstream or control relation
