table_name,column_name,data_type,nullability,default_or_note
application_obligation_snapshot,obligation_status,text,NOT NULL,ACTIVE
application_obligation_snapshot,payment_frequency,text,NOT NULL,MONTHLY
application_obligation_snapshot,maturity_date,date,NULL,
application_obligation_snapshot,secured_flag,boolean,NOT NULL,false
application_obligation_snapshot,data_confidence_score,"numeric(9,6)",NOT NULL,1.0
application_obligation_snapshot,obligation_quality_status,text,NOT NULL,PASS
application_obligation_snapshot,obligation_reason_code,text,NOT NULL,SYNTHETIC_OBSERVED
application_obligation_snapshot,row_hash,text,NOT NULL,
application_obligation_snapshot,created_at,timestamptz,NOT NULL,clock_timestamp()
application_liquidity_capacity_snapshot,module1_run_id,bigint,NOT NULL,
application_liquidity_capacity_snapshot,scenario_id,bigint,NOT NULL,
application_liquidity_capacity_snapshot,merchant_application_id,text,NOT NULL,
application_liquidity_capacity_snapshot,population_id,text,NOT NULL,
application_liquidity_capacity_snapshot,merchant_id,text,NOT NULL,
application_liquidity_capacity_snapshot,as_of_date,date,NOT NULL,
application_liquidity_capacity_snapshot,obligation_source_snapshot_id,bigint,NOT NULL,
application_liquidity_capacity_snapshot,obligation_availability_status,text,NOT NULL,
application_liquidity_capacity_snapshot,obligation_quality_status,text,NOT NULL,
application_liquidity_capacity_snapshot,obligation_confidence_score,"numeric(9,6)",NOT NULL,
application_liquidity_capacity_snapshot,feature_completeness_status,text,NOT NULL,
application_liquidity_capacity_snapshot,verification_disposition,text,NOT NULL,
application_liquidity_capacity_snapshot,obligation_count,integer,NOT NULL,
application_liquidity_capacity_snapshot,short_term_obligation_count,integer,NOT NULL,
application_liquidity_capacity_snapshot,secured_obligation_count,integer,NOT NULL,
application_liquidity_capacity_snapshot,stacked_obligation_count,integer,NOT NULL,
application_liquidity_capacity_snapshot,max_stacking_sequence,smallint,NOT NULL,
application_liquidity_capacity_snapshot,existing_outstanding_balance,"numeric(18,2)",NOT NULL,
application_liquidity_capacity_snapshot,fixed_existing_daily_payment_amount,"numeric(18,2)",NOT NULL,
application_liquidity_capacity_snapshot,existing_sales_linked_remittance_rate,"numeric(12,8)",NOT NULL,
application_liquidity_capacity_snapshot,existing_daily_payment_amount,"numeric(18,2)",NOT NULL,
application_liquidity_capacity_snapshot,existing_monthly_payment_amount,"numeric(18,2)",NOT NULL,
application_liquidity_capacity_snapshot,largest_existing_daily_payment_amount,"numeric(18,2)",NOT NULL,
application_liquidity_capacity_snapshot,requested_rate_based_daily_remittance,"numeric(18,2)",NULL,
application_liquidity_capacity_snapshot,requested_horizon_required_daily_repayment,"numeric(18,2)",NOT NULL,
application_liquidity_capacity_snapshot,requested_daily_remittance_amount,"numeric(18,2)",NOT NULL,
application_liquidity_capacity_snapshot,requested_monthly_remittance_amount,"numeric(18,2)",NOT NULL,
application_liquidity_capacity_snapshot,total_daily_obligation_burden,"numeric(18,2)",NOT NULL,
application_liquidity_capacity_snapshot,total_monthly_obligation_burden,"numeric(18,2)",NOT NULL,
application_liquidity_capacity_snapshot,estimated_daily_operating_cash_flow,"numeric(18,2)",NULL,
application_liquidity_capacity_snapshot,existing_obligation_to_sales_rate,"numeric(12,8)",NULL,
application_liquidity_capacity_snapshot,total_obligation_to_sales_rate,"numeric(12,8)",NULL,
application_liquidity_capacity_snapshot,sales_linked_payment_coverage_ratio,"numeric(12,8)",NULL,
application_liquidity_capacity_snapshot,residual_daily_operating_cash_flow,"numeric(18,2)",NULL,
application_liquidity_capacity_snapshot,residual_monthly_operating_cash_flow,"numeric(18,2)",NULL,
application_liquidity_capacity_snapshot,current_liquidity_buffer_amount,"numeric(18,2)",NULL,
application_liquidity_capacity_snapshot,post_financing_liquidity_buffer_amount,"numeric(18,2)",NULL,
application_liquidity_capacity_snapshot,post_financing_buffer_days,"numeric(12,4)",NULL,
application_liquidity_capacity_snapshot,obligation_concentration_rate,"numeric(12,8)",NOT NULL,
application_liquidity_capacity_snapshot,stacking_depth,smallint,NOT NULL,
application_liquidity_capacity_snapshot,independent_capacity_tier,smallint,NOT NULL,
application_liquidity_capacity_snapshot,baseline_capacity_tier,smallint,NOT NULL,
application_liquidity_capacity_snapshot,capacity_tier,smallint,NOT NULL,
application_liquidity_capacity_snapshot,stress_capacity_worsening_flag,boolean,NOT NULL,
application_liquidity_capacity_snapshot,capacity_evidence_status,text,NOT NULL,
application_liquidity_capacity_snapshot,affordability_status,text,NOT NULL,
application_liquidity_capacity_snapshot,manual_review_recommended_flag,boolean,NOT NULL,
application_liquidity_capacity_snapshot,fallback_path_code,text,NOT NULL,
application_liquidity_capacity_snapshot,primary_capacity_reason_code,text,NOT NULL,
application_liquidity_capacity_snapshot,secondary_capacity_reason_codes,text[],NOT NULL,
application_liquidity_capacity_snapshot,row_hash,text,NOT NULL,
application_liquidity_capacity_snapshot,created_by_run_id,bigint,NOT NULL,
application_liquidity_capacity_snapshot,created_at,timestamptz,NOT NULL,
