table_schema,table_name,column_name,ordinal_position,data_type_and_constraints
msbf_m1,application_ead_path_value,module1_run_id,1,bigint NOT NULL
msbf_m1,application_ead_path_value,scenario_id,2,bigint NOT NULL
msbf_m1,application_ead_path_value,merchant_application_id,3,text NOT NULL
msbf_m1,application_ead_path_value,path_day,4,smallint NOT NULL
msbf_m1,application_ead_path_value,path_bucket,5,text NOT NULL
msbf_m1,application_ead_path_value,path_bucket_day_count,6,smallint NOT NULL
msbf_m1,application_ead_path_value,paydown_curve_shape,7,"numeric(12,8) NOT NULL"
msbf_m1,application_ead_path_value,beginning_exposure_amount,8,"numeric(18,2) NOT NULL"
msbf_m1,application_ead_path_value,scheduled_remittance_amount,9,"numeric(18,2) NOT NULL"
msbf_m1,application_ead_path_value,expected_receivable_reduction_amount,10,"numeric(18,2) NOT NULL"
msbf_m1,application_ead_path_value,ending_exposure_amount,11,"numeric(18,2) NOT NULL"
msbf_m1,application_ead_path_value,default_timing_weight,12,"numeric(14,10) NOT NULL"
msbf_m1,application_ead_path_value,weighted_ead_amount,13,"numeric(18,2) NOT NULL"
msbf_m1,application_ead_path_value,exposure_basis_code,14,text NOT NULL
msbf_m1,application_ead_path_value,payment_basis_code,15,text NOT NULL
msbf_m1,application_ead_path_value,path_hash,16,text NOT NULL
msbf_m1,application_ead_path_value,created_by_run_id,17,bigint NOT NULL
msbf_m1,application_ead_path_value,created_at,18,timestamptz DEFAULT clock_timestamp() NOT NULL
msbf_m1,application_exposure_recovery_loss_snapshot,module1_run_id,1,bigint NOT NULL
msbf_m1,application_exposure_recovery_loss_snapshot,scenario_id,2,bigint NOT NULL
msbf_m1,application_exposure_recovery_loss_snapshot,merchant_application_id,3,text NOT NULL
msbf_m1,application_exposure_recovery_loss_snapshot,population_id,4,text NOT NULL
msbf_m1,application_exposure_recovery_loss_snapshot,merchant_id,5,text NOT NULL
msbf_m1,application_exposure_recovery_loss_snapshot,as_of_date,6,date NOT NULL
msbf_m1,application_exposure_recovery_loss_snapshot,industry_code,7,text NOT NULL
msbf_m1,application_exposure_recovery_loss_snapshot,integrated_risk_snapshot_hash,8,text NOT NULL
msbf_m1,application_exposure_recovery_loss_snapshot,liquidity_capacity_snapshot_hash,9,text NOT NULL
