table_name,ordinal_position,column_name,data_type,nullable,default_expression,business_definition
application_unit_economics_snapshot,1,module1_run_id,bigint,NO,,M1.14 governed physical output field
application_unit_economics_snapshot,2,scenario_id,bigint,NO,,M1.14 governed physical output field
application_unit_economics_snapshot,3,merchant_application_id,text,NO,,M1.14 governed physical output field
application_unit_economics_snapshot,4,population_id,text,NO,,M1.14 governed physical output field
application_unit_economics_snapshot,5,merchant_id,text,NO,,M1.14 governed physical output field
application_unit_economics_snapshot,6,as_of_date,date,NO,,M1.14 governed physical output field
application_unit_economics_snapshot,7,industry_code,text,NO,,M1.14 governed physical output field
application_unit_economics_snapshot,8,merchant_size_tier,text,NO,,M1.14 governed physical output field
application_unit_economics_snapshot,9,relationship_stage,text,NO,,M1.14 governed physical output field
application_unit_economics_snapshot,10,partner_channel_id,text,YES,,M1.14 governed physical output field
application_unit_economics_snapshot,11,channel_type,text,NO,,M1.14 governed physical output field
application_unit_economics_snapshot,12,exposure_recovery_loss_snapshot_hash,text,NO,,M1.14 governed physical output field
application_unit_economics_snapshot,13,liquidity_capacity_snapshot_hash,text,NO,,M1.14 governed physical output field
application_unit_economics_snapshot,14,application_request_hash,text,NO,,M1.14 governed physical output field
application_unit_economics_snapshot,15,loss_evidence_status,text,NO,,M1.14 governed physical output field
application_unit_economics_snapshot,16,channel_cost_evidence_status,text,NO,,M1.14 governed physical output field
application_unit_economics_snapshot,17,unit_economics_evidence_status,text,NO,,M1.14 governed physical output field
application_unit_economics_snapshot,18,integrated_risk_tier,smallint,NO,,M1.14 governed physical output field
application_unit_economics_snapshot,19,path_weighted_ead_amount,"numeric(18,2)",NO,,M1.14 governed physical output field
application_unit_economics_snapshot,20,schedule_adjusted_comparative_loss_rate,"numeric(12,8)",YES,,M1.14 governed physical output field
application_unit_economics_snapshot,21,requested_funding_amount,"numeric(18,2)",NO,,M1.14 governed physical output field
application_unit_economics_snapshot,22,requested_total_repayment_amount,"numeric(18,2)",NO,,M1.14 governed physical output field
application_unit_economics_snapshot,23,requested_finance_charge_amount,"numeric(18,2)",NO,,M1.14 governed physical output field
application_unit_economics_snapshot,24,requested_expected_payoff_days,smallint,NO,,M1.14 governed physical output field
application_unit_economics_snapshot,25,payback_multiple,"numeric(12,8)",NO,,M1.14 governed physical output field
application_unit_economics_snapshot,26,gross_finance_revenue_amount,"numeric(18,2)",NO,,M1.14 governed physical output field
application_unit_economics_snapshot,27,gross_finance_charge_rate,"numeric(12,8)",NO,,M1.14 governed physical output field
application_unit_economics_snapshot,28,annualized_gross_yield_rate,"numeric(12,8)",NO,,M1.14 governed physical output field
application_unit_economics_snapshot,29,processor_payment_cost_rate,"numeric(12,8)",NO,,M1.14 governed physical output field
application_unit_economics_snapshot,30,processor_payment_cost_amount,"numeric(18,2)",NO,,M1.14 governed physical output field
application_unit_economics_snapshot,31,partner_acquisition_cost_rate,"numeric(12,8)",NO,,M1.14 governed physical output field
application_unit_economics_snapshot,32,partner_acquisition_cost_amount,"numeric(18,2)",NO,,M1.14 governed physical output field
application_unit_economics_snapshot,33,funding_cost_annual_rate,"numeric(12,8)",NO,,M1.14 governed physical output field
application_unit_economics_snapshot,34,funding_cost_amount,"numeric(18,2)",NO,,M1.14 governed physical output field
application_unit_economics_snapshot,35,servicing_daily_cost_amount,"numeric(18,2)",NO,,M1.14 governed physical output field
application_unit_economics_snapshot,36,servicing_variable_cost_rate,"numeric(12,8)",NO,,M1.14 governed physical output field
application_unit_economics_snapshot,37,servicing_cost_amount,"numeric(18,2)",NO,,M1.14 governed physical output field
application_unit_economics_snapshot,38,operating_cost_fixed_amount,"numeric(18,2)",NO,,M1.14 governed physical output field
application_unit_economics_snapshot,39,operating_cost_variable_rate,"numeric(12,8)",NO,,M1.14 governed physical output field
application_unit_economics_snapshot,40,operating_cost_amount,"numeric(18,2)",NO,,M1.14 governed physical output field
application_unit_economics_snapshot,41,total_non_loss_cost_amount,"numeric(18,2)",NO,,M1.14 governed physical output field
application_unit_economics_snapshot,42,contribution_before_comparative_loss_amount,"numeric(18,2)",NO,,M1.14 governed physical output field
application_unit_economics_snapshot,43,comparative_expected_loss_amount,"numeric(18,2)",YES,,M1.14 governed physical output field
application_unit_economics_snapshot,44,contribution_after_comparative_loss_amount,"numeric(18,2)",YES,,M1.14 governed physical output field
application_unit_economics_snapshot,45,risk_capital_allocation_rate,"numeric(12,8)",NO,,M1.14 governed physical output field
