table_name,column_name,data_type,nullable,ordinal_position
application_unit_economics_snapshot,module1_run_id,bigint,NO,1
application_unit_economics_snapshot,scenario_id,bigint,NO,2
application_unit_economics_snapshot,merchant_application_id,text,NO,3
application_unit_economics_snapshot,population_id,text,NO,4
application_unit_economics_snapshot,merchant_id,text,NO,5
application_unit_economics_snapshot,as_of_date,date,NO,6
application_unit_economics_snapshot,industry_code,text,NO,7
application_unit_economics_snapshot,merchant_size_tier,text,NO,8
application_unit_economics_snapshot,relationship_stage,text,NO,9
application_unit_economics_snapshot,partner_channel_id,text,YES,10
application_unit_economics_snapshot,channel_type,text,NO,11
application_unit_economics_snapshot,exposure_recovery_loss_snapshot_hash,text,NO,12
application_unit_economics_snapshot,liquidity_capacity_snapshot_hash,text,NO,13
application_unit_economics_snapshot,application_request_hash,text,NO,14
application_unit_economics_snapshot,loss_evidence_status,text,NO,15
application_unit_economics_snapshot,channel_cost_evidence_status,text,NO,16
application_unit_economics_snapshot,unit_economics_evidence_status,text,NO,17
application_unit_economics_snapshot,integrated_risk_tier,smallint,NO,18
application_unit_economics_snapshot,path_weighted_ead_amount,"numeric(18,2)",NO,19
application_unit_economics_snapshot,schedule_adjusted_comparative_loss_rate,"numeric(12,8)",YES,20
application_unit_economics_snapshot,requested_funding_amount,"numeric(18,2)",NO,21
application_unit_economics_snapshot,requested_total_repayment_amount,"numeric(18,2)",NO,22
application_unit_economics_snapshot,requested_finance_charge_amount,"numeric(18,2)",NO,23
application_unit_economics_snapshot,requested_expected_payoff_days,smallint,NO,24
application_unit_economics_snapshot,payback_multiple,"numeric(12,8)",NO,25
application_unit_economics_snapshot,gross_finance_revenue_amount,"numeric(18,2)",NO,26
application_unit_economics_snapshot,gross_finance_charge_rate,"numeric(12,8)",NO,27
application_unit_economics_snapshot,annualized_gross_yield_rate,"numeric(12,8)",NO,28
application_unit_economics_snapshot,processor_payment_cost_rate,"numeric(12,8)",NO,29
application_unit_economics_snapshot,processor_payment_cost_amount,"numeric(18,2)",NO,30
application_unit_economics_snapshot,partner_acquisition_cost_rate,"numeric(12,8)",NO,31
application_unit_economics_snapshot,partner_acquisition_cost_amount,"numeric(18,2)",NO,32
application_unit_economics_snapshot,funding_cost_annual_rate,"numeric(12,8)",NO,33
application_unit_economics_snapshot,funding_cost_amount,"numeric(18,2)",NO,34
application_unit_economics_snapshot,servicing_daily_cost_amount,"numeric(18,2)",NO,35
application_unit_economics_snapshot,servicing_variable_cost_rate,"numeric(12,8)",NO,36
application_unit_economics_snapshot,servicing_cost_amount,"numeric(18,2)",NO,37
application_unit_economics_snapshot,operating_cost_fixed_amount,"numeric(18,2)",NO,38
application_unit_economics_snapshot,operating_cost_variable_rate,"numeric(12,8)",NO,39
application_unit_economics_snapshot,operating_cost_amount,"numeric(18,2)",NO,40
application_unit_economics_snapshot,total_non_loss_cost_amount,"numeric(18,2)",NO,41
application_unit_economics_snapshot,contribution_before_comparative_loss_amount,"numeric(18,2)",NO,42
application_unit_economics_snapshot,comparative_expected_loss_amount,"numeric(18,2)",YES,43
application_unit_economics_snapshot,contribution_after_comparative_loss_amount,"numeric(18,2)",YES,44
application_unit_economics_snapshot,risk_capital_allocation_rate,"numeric(12,8)",NO,45
application_unit_economics_snapshot,risk_capital_cost_annual_rate,"numeric(12,8)",NO,46
application_unit_economics_snapshot,risk_capital_charge_amount,"numeric(18,2)",NO,47
application_unit_economics_snapshot,independent_risk_adjusted_contribution_amount,"numeric(18,2)",YES,48
application_unit_economics_snapshot,baseline_risk_adjusted_contribution_amount,"numeric(18,2)",YES,49
application_unit_economics_snapshot,risk_adjusted_contribution_amount,"numeric(18,2)",YES,50
application_unit_economics_snapshot,contribution_before_loss_margin_rate,"numeric(12,8)",NO,51
application_unit_economics_snapshot,contribution_after_loss_margin_rate,"numeric(12,8)",YES,52
application_unit_economics_snapshot,independent_risk_adjusted_contribution_margin_rate,"numeric(12,8)",YES,53
application_unit_economics_snapshot,risk_adjusted_contribution_margin_rate,"numeric(12,8)",YES,54
application_unit_economics_snapshot,independent_annualized_risk_adjusted_return_rate,"numeric(12,8)",YES,55
application_unit_economics_snapshot,baseline_annualized_risk_adjusted_return_rate,"numeric(12,8)",YES,56
application_unit_economics_snapshot,annualized_risk_adjusted_return_rate,"numeric(12,8)",YES,57
application_unit_economics_snapshot,hurdle_annual_return_rate,"numeric(12,8)",NO,58
application_unit_economics_snapshot,hurdle_required_contribution_amount,"numeric(18,2)",NO,59
application_unit_economics_snapshot,economic_surplus_amount,"numeric(18,2)",YES,60
application_unit_economics_snapshot,independent_economic_tier,smallint,NO,61
application_unit_economics_snapshot,baseline_economic_tier,smallint,NO,62
application_unit_economics_snapshot,economic_tier,smallint,NO,63
application_unit_economics_snapshot,stress_economic_worsening_flag,boolean,NO,64
application_unit_economics_snapshot,hurdle_pass_flag,boolean,NO,65
application_unit_economics_snapshot,economic_status,text,NO,66
application_unit_economics_snapshot,hard_stop_recommended_flag,boolean,NO,67
application_unit_economics_snapshot,manual_review_recommended_flag,boolean,NO,68
application_unit_economics_snapshot,fallback_path_code,text,NO,69
application_unit_economics_snapshot,primary_economic_reason_code,text,NO,70
application_unit_economics_snapshot,secondary_economic_reason_codes,text[],NO,71
application_unit_economics_snapshot,row_hash,text,NO,72
application_unit_economics_snapshot,created_by_run_id,bigint,NO,73
application_unit_economics_snapshot,created_at,timestamptz,NO,74
unit_economics_component_value,module1_run_id,bigint,NO,1
unit_economics_component_value,scenario_id,bigint,NO,2
unit_economics_component_value,merchant_application_id,text,NO,3
unit_economics_component_value,component_code,text,NO,4
unit_economics_component_value,component_version,smallint,NO,5
unit_economics_component_value,component_amount,"numeric(18,2)",YES,6
unit_economics_component_value,component_rate,"numeric(12,8)",YES,7
unit_economics_component_value,component_sign,smallint,NO,8
unit_economics_component_value,component_status,text,NO,9
unit_economics_component_value,component_reason_code,text,NO,10
unit_economics_component_value,source_lineage_hash,text,NO,11
unit_economics_component_value,calculation_hash,text,NO,12
unit_economics_component_value,created_by_run_id,bigint,NO,13
unit_economics_component_value,created_at,timestamptz,NO,14
