schema_name,table_name,ordinal_position,column_name,data_type,definition,description
msbf_ctl,m1_15_consumption_contract_registry,1,contract_code,text,text NOT NULL,Contract Code
msbf_ctl,m1_15_consumption_contract_registry,2,contract_version,integer,integer NOT NULL,Contract Version
msbf_ctl,m1_15_consumption_contract_registry,3,module1_run_id,bigint,bigint NOT NULL,Module1 Run Id
msbf_ctl,m1_15_consumption_contract_registry,4,schema_version,text,text NOT NULL,Schema Version
msbf_ctl,m1_15_consumption_contract_registry,5,scenario_set_id,bigint,bigint NOT NULL,Scenario Set Id
msbf_ctl,m1_15_consumption_contract_registry,6,contract_status,text,text NOT NULL,Contract Status
msbf_ctl,m1_15_consumption_contract_registry,7,latest_row_count,integer,integer NOT NULL,Latest Row Count
msbf_ctl,m1_15_consumption_contract_registry,8,archive_row_count,integer,integer NOT NULL,Archive Row Count
msbf_ctl,m1_15_consumption_contract_registry,9,comparison_row_count,integer,integer NOT NULL,Comparison Row Count
msbf_ctl,m1_15_consumption_contract_registry,10,latest_set_hash,text,text NOT NULL,Latest Set Hash
msbf_ctl,m1_15_consumption_contract_registry,11,archive_set_hash,text,text NOT NULL,Archive Set Hash
msbf_ctl,m1_15_consumption_contract_registry,12,comparison_set_hash,text,text NOT NULL,Comparison Set Hash
msbf_ctl,m1_15_consumption_contract_registry,13,contract_set_hash,text,text NOT NULL,Contract Set Hash
msbf_ctl,m1_15_consumption_contract_registry,14,combined_set_hash,text,text NOT NULL,Combined Set Hash
msbf_ctl,m1_15_consumption_contract_registry,15,contract_row_hash,text,text NOT NULL,Contract Row Hash
msbf_ctl,m1_15_consumption_contract_registry,16,generated_at,timestamptz,timestamptz NOT NULL DEFAULT clock_timestamp(),Generated At
msbf_ctl,m1_15_consumption_contract_registry,17,validated_at,timestamptz,timestamptz,Validated At
msbf_ctl,m1_15_consumption_contract_registry,18,created_by_run_id,bigint,bigint NOT NULL,Created By Run Id
msbf_m1,application_module1_latest,1,module1_run_id,bigint,bigint NOT NULL,Module1 Run Id
msbf_m1,application_module1_latest,2,scenario_id,bigint,bigint NOT NULL,Scenario Id
msbf_m1,application_module1_latest,3,merchant_application_id,text,text NOT NULL,Merchant Application Id
msbf_m1,application_module1_latest,4,population_id,text,text NOT NULL,Population Id
msbf_m1,application_module1_latest,5,merchant_id,text,text NOT NULL,Merchant Id
msbf_m1,application_module1_latest,6,as_of_date,date,date NOT NULL,As Of Date
msbf_m1,application_module1_latest,7,scenario_code,text,text NOT NULL,Scenario Code
msbf_m1,application_module1_latest,8,industry_code,text,text NOT NULL,Industry Code
msbf_m1,application_module1_latest,9,merchant_size_tier,text,text NOT NULL,Merchant Size Tier
msbf_m1,application_module1_latest,10,relationship_stage,text,text NOT NULL,Relationship Stage
msbf_m1,application_module1_latest,11,partner_channel_id,text,text,Partner Channel Id
msbf_m1,application_module1_latest,12,channel_type,text,text NOT NULL,Channel Type
msbf_m1,application_module1_latest,13,source_confidence_score,"numeric(9,6)","numeric(9,6) NOT NULL",Source Confidence Score
msbf_m1,application_module1_latest,14,data_confidence_tier,text,text NOT NULL,Data Confidence Tier
msbf_m1,application_module1_latest,15,verification_disposition,text,text NOT NULL,Verification Disposition
msbf_m1,application_module1_latest,16,fraud_risk_tier,smallint,smallint NOT NULL,Fraud Risk Tier
msbf_m1,application_module1_latest,17,processor_continuity_status,text,text NOT NULL,Processor Continuity Status
msbf_m1,application_module1_latest,18,feature_completeness_status,text,text NOT NULL,Feature Completeness Status
msbf_m1,application_module1_latest,19,avg_daily_eligible_sales_30d,"numeric(18,2)","numeric(18,2)",Avg Daily Eligible Sales 30D
msbf_m1,application_module1_latest,20,annualized_eligible_sales,"numeric(18,2)","numeric(18,2)",Annualized Eligible Sales
msbf_m1,application_module1_latest,21,average_available_balance_30d,"numeric(18,2)","numeric(18,2)",Average Available Balance 30D
msbf_m1,application_module1_latest,22,negative_balance_day_rate_30d,"numeric(12,8)","numeric(12,8)",Negative Balance Day Rate 30D
msbf_m1,application_module1_latest,23,nsf_count_30d,integer,integer,Nsf Count 30D
msbf_m1,application_module1_latest,24,capacity_tier,smallint,smallint NOT NULL,Capacity Tier
msbf_m1,application_module1_latest,25,capacity_evidence_status,text,text NOT NULL,Capacity Evidence Status
msbf_m1,application_module1_latest,26,affordability_status,text,text NOT NULL,Affordability Status
msbf_m1,application_module1_latest,27,sales_linked_payment_coverage_ratio,"numeric(12,6)","numeric(12,6)",Sales Linked Payment Coverage Ratio
msbf_m1,application_module1_latest,28,residual_daily_operating_cash_flow,"numeric(18,2)","numeric(18,2)",Residual Daily Operating Cash Flow
msbf_m1,application_module1_latest,29,post_financing_liquidity_buffer_amount,"numeric(18,2)","numeric(18,2)",Post Financing Liquidity Buffer Amount
msbf_m1,application_module1_latest,30,archetype_code,text,text NOT NULL,Archetype Code
msbf_m1,application_module1_latest,31,operating_resilience_score,"numeric(12,6)","numeric(12,6)",Operating Resilience Score
msbf_m1,application_module1_latest,32,resilience_tier,smallint,smallint NOT NULL,Resilience Tier
msbf_m1,application_module1_latest,33,resilience_status,text,text NOT NULL,Resilience Status
msbf_m1,application_module1_latest,34,operating_resilience_evidence_status,text,text NOT NULL,Operating Resilience Evidence Status
msbf_m1,application_module1_latest,35,integrated_risk_score,"numeric(12,6)","numeric(12,6)",Integrated Risk Score
msbf_m1,application_module1_latest,36,synthetic_merchant_risk_proxy,"numeric(12,8)","numeric(12,8)",Synthetic Merchant Risk Proxy
msbf_m1,application_module1_latest,37,integrated_risk_tier,smallint,smallint NOT NULL,Integrated Risk Tier
msbf_m1,application_module1_latest,38,integrated_risk_status,text,text NOT NULL,Integrated Risk Status
msbf_m1,application_module1_latest,39,integrated_risk_evidence_status,text,text NOT NULL,Integrated Risk Evidence Status
msbf_m1,application_module1_latest,40,path_weighted_ead_amount,"numeric(18,2)","numeric(18,2) NOT NULL",Path Weighted Ead Amount
msbf_m1,application_module1_latest,41,expected_ead_rate,"numeric(12,8)","numeric(12,8) NOT NULL",Expected Ead Rate
msbf_m1,application_module1_latest,42,recovery_rate_assumption,"numeric(12,8)","numeric(12,8) NOT NULL",Recovery Rate Assumption
msbf_m1,application_module1_latest,43,lgd_input_rate,"numeric(12,8)","numeric(12,8) NOT NULL",Lgd Input Rate
msbf_m1,application_module1_latest,44,schedule_adjusted_comparative_expected_loss_amount,"numeric(18,2)","numeric(18,2)",Schedule Adjusted Comparative Expected Loss Amount
msbf_m1,application_module1_latest,45,schedule_adjusted_comparative_loss_rate,"numeric(12,8)","numeric(12,8)",Schedule Adjusted Comparative Loss Rate
msbf_m1,application_module1_latest,46,loss_evidence_status,text,text NOT NULL,Loss Evidence Status
msbf_m1,application_module1_latest,47,gross_finance_revenue_amount,"numeric(18,2)","numeric(18,2) NOT NULL",Gross Finance Revenue Amount
msbf_m1,application_module1_latest,48,total_non_loss_cost_amount,"numeric(18,2)","numeric(18,2) NOT NULL",Total Non Loss Cost Amount
msbf_m1,application_module1_latest,49,risk_adjusted_contribution_amount,"numeric(18,2)","numeric(18,2)",Risk Adjusted Contribution Amount
msbf_m1,application_module1_latest,50,annualized_risk_adjusted_return_rate,"numeric(12,8)","numeric(12,8)",Annualized Risk Adjusted Return Rate
msbf_m1,application_module1_latest,51,economic_surplus_amount,"numeric(18,2)","numeric(18,2)",Economic Surplus Amount
msbf_m1,application_module1_latest,52,economic_tier,smallint,smallint NOT NULL,Economic Tier
msbf_m1,application_module1_latest,53,economic_status,text,text NOT NULL,Economic Status
msbf_m1,application_module1_latest,54,unit_economics_evidence_status,text,text NOT NULL,Unit Economics Evidence Status
msbf_m1,application_module1_latest,55,hard_stop_recommended_flag,boolean,boolean NOT NULL,Hard Stop Recommended Flag
msbf_m1,application_module1_latest,56,manual_review_recommended_flag,boolean,boolean NOT NULL,Manual Review Recommended Flag
msbf_m1,application_module1_latest,57,contract_evidence_status,text,text NOT NULL,Contract Evidence Status
msbf_m1,application_module1_latest,58,fallback_path_code,text,text NOT NULL,Fallback Path Code
msbf_m1,application_module1_latest,59,primary_contract_reason_code,text,text NOT NULL,Primary Contract Reason Code
msbf_m1,application_module1_latest,60,secondary_contract_reason_codes,text[],text[] NOT NULL DEFAULT '{}'::text[],Secondary Contract Reason Codes
msbf_m1,application_module1_latest,61,m1_8_row_hash,text,text NOT NULL,M1 8 Row Hash
msbf_m1,application_module1_latest,62,m1_9_row_hash,text,text NOT NULL,M1 9 Row Hash
msbf_m1,application_module1_latest,63,m1_10_row_hash,text,text NOT NULL,M1 10 Row Hash
msbf_m1,application_module1_latest,64,m1_11_row_hash,text,text NOT NULL,M1 11 Row Hash
msbf_m1,application_module1_latest,65,m1_12_row_hash,text,text NOT NULL,M1 12 Row Hash
msbf_m1,application_module1_latest,66,m1_13_row_hash,text,text NOT NULL,M1 13 Row Hash
msbf_m1,application_module1_latest,67,m1_14_row_hash,text,text NOT NULL,M1 14 Row Hash
msbf_m1,application_module1_latest,68,source_payload,jsonb,jsonb NOT NULL,Source Payload
msbf_m1,application_module1_latest,69,lineage_payload,jsonb,jsonb NOT NULL,Lineage Payload
msbf_m1,application_module1_latest,70,contract_code,text,text NOT NULL,Contract Code
msbf_m1,application_module1_latest,71,contract_version,integer,integer NOT NULL,Contract Version
msbf_m1,application_module1_latest,72,schema_version,text,text NOT NULL,Schema Version
msbf_m1,application_module1_latest,73,contract_row_hash,text,text NOT NULL,Contract Row Hash
msbf_m1,application_module1_latest,74,created_by_run_id,bigint,bigint NOT NULL,Created By Run Id
msbf_m1,application_module1_latest,75,created_at,timestamptz,timestamptz NOT NULL DEFAULT clock_timestamp(),Created At
msbf_m1,application_module1_archive,1,archive_id,bigint GENERATED ALWAYS AS IDENTITY,bigint GENERATED ALWAYS AS IDENTITY PRIMARY KEY,Archive Id
msbf_m1,application_module1_archive,2,module1_run_id,bigint,bigint NOT NULL,Module1 Run Id
msbf_m1,application_module1_archive,3,scenario_id,bigint,bigint NOT NULL,Scenario Id
msbf_m1,application_module1_archive,4,merchant_application_id,text,text NOT NULL,Merchant Application Id
msbf_m1,application_module1_archive,5,contract_code,text,text NOT NULL,Contract Code
msbf_m1,application_module1_archive,6,contract_version,integer,integer NOT NULL,Contract Version
msbf_m1,application_module1_archive,7,schema_version,text,text NOT NULL,Schema Version
msbf_m1,application_module1_archive,8,contract_row_hash,text,text NOT NULL,Contract Row Hash
msbf_m1,application_module1_archive,9,contract_payload,jsonb,jsonb NOT NULL,Contract Payload
msbf_m1,application_module1_archive,10,archived_by_run_id,bigint,bigint NOT NULL,Archived By Run Id
msbf_m1,application_module1_archive,11,archived_at,timestamptz,timestamptz NOT NULL DEFAULT clock_timestamp(),Archived At
msbf_m1,application_module1_scenario_comparison,1,module1_run_id,bigint,bigint NOT NULL,Module1 Run Id
msbf_m1,application_module1_scenario_comparison,2,merchant_application_id,text,text NOT NULL,Merchant Application Id
msbf_m1,application_module1_scenario_comparison,3,population_id,text,text NOT NULL,Population Id
msbf_m1,application_module1_scenario_comparison,4,merchant_id,text,text NOT NULL,Merchant Id
msbf_m1,application_module1_scenario_comparison,5,as_of_date,date,date NOT NULL,As Of Date
msbf_m1,application_module1_scenario_comparison,6,baseline_scenario_id,bigint,bigint NOT NULL,Baseline Scenario Id
msbf_m1,application_module1_scenario_comparison,7,stress_scenario_id,bigint,bigint NOT NULL,Stress Scenario Id
msbf_m1,application_module1_scenario_comparison,8,baseline_source_confidence_score,"numeric(9,6)","numeric(9,6) NOT NULL",Baseline Source Confidence Score
msbf_m1,application_module1_scenario_comparison,9,stress_source_confidence_score,"numeric(9,6)","numeric(9,6) NOT NULL",Stress Source Confidence Score
msbf_m1,application_module1_scenario_comparison,10,source_confidence_delta,"numeric(12,8)","numeric(12,8) NOT NULL",Source Confidence Delta
msbf_m1,application_module1_scenario_comparison,11,baseline_avg_daily_eligible_sales_30d,"numeric(18,2)","numeric(18,2)",Baseline Avg Daily Eligible Sales 30D
msbf_m1,application_module1_scenario_comparison,12,stress_avg_daily_eligible_sales_30d,"numeric(18,2)","numeric(18,2)",Stress Avg Daily Eligible Sales 30D
msbf_m1,application_module1_scenario_comparison,13,sales_delta_amount,"numeric(18,2)","numeric(18,2)",Sales Delta Amount
msbf_m1,application_module1_scenario_comparison,14,baseline_average_available_balance_30d,"numeric(18,2)","numeric(18,2)",Baseline Average Available Balance 30D
msbf_m1,application_module1_scenario_comparison,15,stress_average_available_balance_30d,"numeric(18,2)","numeric(18,2)",Stress Average Available Balance 30D
msbf_m1,application_module1_scenario_comparison,16,available_balance_delta_amount,"numeric(18,2)","numeric(18,2)",Available Balance Delta Amount
msbf_m1,application_module1_scenario_comparison,17,baseline_capacity_tier,smallint,smallint NOT NULL,Baseline Capacity Tier
msbf_m1,application_module1_scenario_comparison,18,stress_capacity_tier,smallint,smallint NOT NULL,Stress Capacity Tier
msbf_m1,application_module1_scenario_comparison,19,capacity_tier_delta,smallint,smallint NOT NULL,Capacity Tier Delta
msbf_m1,application_module1_scenario_comparison,20,baseline_operating_resilience_score,"numeric(12,6)","numeric(12,6)",Baseline Operating Resilience Score
msbf_m1,application_module1_scenario_comparison,21,stress_operating_resilience_score,"numeric(12,6)","numeric(12,6)",Stress Operating Resilience Score
msbf_m1,application_module1_scenario_comparison,22,resilience_score_delta,"numeric(12,6)","numeric(12,6)",Resilience Score Delta
msbf_m1,application_module1_scenario_comparison,23,baseline_resilience_tier,smallint,smallint NOT NULL,Baseline Resilience Tier
msbf_m1,application_module1_scenario_comparison,24,stress_resilience_tier,smallint,smallint NOT NULL,Stress Resilience Tier
msbf_m1,application_module1_scenario_comparison,25,resilience_tier_delta,smallint,smallint NOT NULL,Resilience Tier Delta
msbf_m1,application_module1_scenario_comparison,26,baseline_integrated_risk_score,"numeric(12,6)","numeric(12,6)",Baseline Integrated Risk Score
msbf_m1,application_module1_scenario_comparison,27,stress_integrated_risk_score,"numeric(12,6)","numeric(12,6)",Stress Integrated Risk Score
msbf_m1,application_module1_scenario_comparison,28,integrated_risk_score_delta,"numeric(12,6)","numeric(12,6)",Integrated Risk Score Delta
msbf_m1,application_module1_scenario_comparison,29,baseline_integrated_risk_tier,smallint,smallint NOT NULL,Baseline Integrated Risk Tier
msbf_m1,application_module1_scenario_comparison,30,stress_integrated_risk_tier,smallint,smallint NOT NULL,Stress Integrated Risk Tier
msbf_m1,application_module1_scenario_comparison,31,integrated_risk_tier_delta,smallint,smallint NOT NULL,Integrated Risk Tier Delta
msbf_m1,application_module1_scenario_comparison,32,baseline_path_weighted_ead_amount,"numeric(18,2)","numeric(18,2) NOT NULL",Baseline Path Weighted Ead Amount
msbf_m1,application_module1_scenario_comparison,33,stress_path_weighted_ead_amount,"numeric(18,2)","numeric(18,2) NOT NULL",Stress Path Weighted Ead Amount
msbf_m1,application_module1_scenario_comparison,34,path_weighted_ead_delta_amount,"numeric(18,2)","numeric(18,2) NOT NULL",Path Weighted Ead Delta Amount
msbf_m1,application_module1_scenario_comparison,35,baseline_lgd_input_rate,"numeric(12,8)","numeric(12,8) NOT NULL",Baseline Lgd Input Rate
msbf_m1,application_module1_scenario_comparison,36,stress_lgd_input_rate,"numeric(12,8)","numeric(12,8) NOT NULL",Stress Lgd Input Rate
msbf_m1,application_module1_scenario_comparison,37,lgd_delta_rate,"numeric(12,8)","numeric(12,8) NOT NULL",Lgd Delta Rate
msbf_m1,application_module1_scenario_comparison,38,baseline_comparative_loss_amount,"numeric(18,2)","numeric(18,2)",Baseline Comparative Loss Amount
msbf_m1,application_module1_scenario_comparison,39,stress_comparative_loss_amount,"numeric(18,2)","numeric(18,2)",Stress Comparative Loss Amount
msbf_m1,application_module1_scenario_comparison,40,comparative_loss_delta_amount,"numeric(18,2)","numeric(18,2)",Comparative Loss Delta Amount
msbf_m1,application_module1_scenario_comparison,41,baseline_risk_adjusted_contribution_amount,"numeric(18,2)","numeric(18,2)",Baseline Risk Adjusted Contribution Amount
msbf_m1,application_module1_scenario_comparison,42,stress_risk_adjusted_contribution_amount,"numeric(18,2)","numeric(18,2)",Stress Risk Adjusted Contribution Amount
msbf_m1,application_module1_scenario_comparison,43,risk_adjusted_contribution_delta_amount,"numeric(18,2)","numeric(18,2)",Risk Adjusted Contribution Delta Amount
msbf_m1,application_module1_scenario_comparison,44,baseline_annualized_return_rate,"numeric(12,8)","numeric(12,8)",Baseline Annualized Return Rate
msbf_m1,application_module1_scenario_comparison,45,stress_annualized_return_rate,"numeric(12,8)","numeric(12,8)",Stress Annualized Return Rate
msbf_m1,application_module1_scenario_comparison,46,annualized_return_delta_rate,"numeric(12,8)","numeric(12,8)",Annualized Return Delta Rate
msbf_m1,application_module1_scenario_comparison,47,baseline_economic_tier,smallint,smallint NOT NULL,Baseline Economic Tier
msbf_m1,application_module1_scenario_comparison,48,stress_economic_tier,smallint,smallint NOT NULL,Stress Economic Tier
msbf_m1,application_module1_scenario_comparison,49,economic_tier_delta,smallint,smallint NOT NULL,Economic Tier Delta
msbf_m1,application_module1_scenario_comparison,50,capacity_worsening_flag,boolean,boolean NOT NULL,Capacity Worsening Flag
msbf_m1,application_module1_scenario_comparison,51,resilience_worsening_flag,boolean,boolean NOT NULL,Resilience Worsening Flag
msbf_m1,application_module1_scenario_comparison,52,integrated_risk_worsening_flag,boolean,boolean NOT NULL,Integrated Risk Worsening Flag
msbf_m1,application_module1_scenario_comparison,53,comparative_loss_worsening_flag,boolean,boolean NOT NULL,Comparative Loss Worsening Flag
msbf_m1,application_module1_scenario_comparison,54,economic_worsening_flag,boolean,boolean NOT NULL,Economic Worsening Flag
msbf_m1,application_module1_scenario_comparison,55,manual_review_escalation_flag,boolean,boolean NOT NULL,Manual Review Escalation Flag
msbf_m1,application_module1_scenario_comparison,56,hard_stop_escalation_flag,boolean,boolean NOT NULL,Hard Stop Escalation Flag
msbf_m1,application_module1_scenario_comparison,57,comparison_evidence_status,text,text NOT NULL,Comparison Evidence Status
msbf_m1,application_module1_scenario_comparison,58,baseline_contract_row_hash,text,text NOT NULL,Baseline Contract Row Hash
msbf_m1,application_module1_scenario_comparison,59,stress_contract_row_hash,text,text NOT NULL,Stress Contract Row Hash
msbf_m1,application_module1_scenario_comparison,60,contract_code,text,text NOT NULL,Contract Code
msbf_m1,application_module1_scenario_comparison,61,contract_version,integer,integer NOT NULL,Contract Version
msbf_m1,application_module1_scenario_comparison,62,comparison_row_hash,text,text NOT NULL,Comparison Row Hash
msbf_m1,application_module1_scenario_comparison,63,created_by_run_id,bigint,bigint NOT NULL,Created By Run Id
msbf_m1,application_module1_scenario_comparison,64,created_at,timestamptz,timestamptz NOT NULL DEFAULT clock_timestamp(),Created At
