schema_name,table_name,ordinal_position,column_name,data_type,nullable,default_expression,stage
msbf_ref,acquisition_source_family,1,source_family_code,text,NO,,M1.16
msbf_ref,acquisition_source_family,2,source_family_name,text,NO,,M1.16
msbf_ref,acquisition_source_family,3,description,text,NO,,M1.16
msbf_ref,acquisition_source_family,4,active_flag,boolean,NO,true,M1.16
msbf_ref,acquisition_funnel_stage,1,stage_code,text,NO,,M1.16
msbf_ref,acquisition_funnel_stage,2,stage_name,text,NO,,M1.16
msbf_ref,acquisition_funnel_stage,3,stage_order,smallint,NO,,M1.16
msbf_ref,acquisition_funnel_stage,4,description,text,NO,,M1.16
msbf_ref,acquisition_funnel_stage,5,active_flag,boolean,NO,true,M1.16
msbf_ref,acquisition_cost_basis,1,cost_basis_code,text,NO,,M1.16
msbf_ref,acquisition_cost_basis,2,cost_basis_name,text,NO,,M1.16
msbf_ref,acquisition_cost_basis,3,conditional_basis_flag,boolean,NO,,M1.16
msbf_ref,acquisition_cost_basis,4,description,text,NO,,M1.16
msbf_ref,acquisition_cost_basis,5,active_flag,boolean,NO,true,M1.16
msbf_ref,acquisition_cost_timing,1,cost_timing_code,text,NO,,M1.16
msbf_ref,acquisition_cost_timing,2,cost_timing_name,text,NO,,M1.16
msbf_ref,acquisition_cost_timing,3,incurred_flag,boolean,NO,,M1.16
msbf_ref,acquisition_cost_timing,4,conditional_flag,boolean,NO,,M1.16
msbf_ref,acquisition_cost_timing,5,description,text,NO,,M1.16
msbf_ref,acquisition_cost_timing,6,active_flag,boolean,NO,true,M1.16
msbf_ref,acquisition_cost_component,1,cost_component_code,text,NO,,M1.16
msbf_ref,acquisition_cost_component,2,cost_component_name,text,NO,,M1.16
msbf_ref,acquisition_cost_component,3,component_role_code,text,NO,,M1.16
msbf_ref,acquisition_cost_component,4,additive_flag,boolean,NO,,M1.16
msbf_ref,acquisition_cost_component,5,included_in_detailed_total_flag,boolean,NO,,M1.16
msbf_ref,acquisition_cost_component,6,included_in_enhanced_total_flag,boolean,NO,,M1.16
msbf_ref,acquisition_cost_component,7,sign_multiplier,smallint,NO,,M1.16
msbf_ref,acquisition_cost_component,8,display_order,smallint,NO,,M1.16
msbf_ref,acquisition_cost_component,9,description,text,NO,,M1.16
msbf_ref,acquisition_cost_component,10,active_flag,boolean,NO,true,M1.16
msbf_ref,acquisition_attribution_method,1,attribution_method_code,text,NO,,M1.16
msbf_ref,acquisition_attribution_method,2,method_version,integer,NO,,M1.16
msbf_ref,acquisition_attribution_method,3,method_name,text,NO,,M1.16
msbf_ref,acquisition_attribution_method,4,primary_weight,"numeric(9,6)",NO,,M1.16
msbf_ref,acquisition_attribution_method,5,assisted_weight,"numeric(9,6)",NO,,M1.16
msbf_ref,acquisition_attribution_method,6,max_touchpoints,smallint,NO,,M1.16
msbf_ref,acquisition_attribution_method,7,fallback_hierarchy,jsonb,NO,,M1.16
msbf_ref,acquisition_attribution_method,8,status,text,NO,,M1.16
msbf_ref,acquisition_attribution_method,9,description,text,NO,,M1.16
msbf_ref,acquisition_legacy_overlap_policy,1,partner_channel_id,text,NO,,M1.16
msbf_ref,acquisition_legacy_overlap_policy,2,cost_component_code,text,NO,,M1.16
msbf_ref,acquisition_legacy_overlap_policy,3,legacy_scope_code,text,NO,,M1.16
msbf_ref,acquisition_legacy_overlap_policy,4,overlap_class,text,NO,,M1.16
msbf_ref,acquisition_legacy_overlap_policy,5,overlap_rate,"numeric(9,6)",NO,,M1.16
msbf_ref,acquisition_legacy_overlap_policy,6,status,text,NO,,M1.16
msbf_ref,acquisition_legacy_overlap_policy,7,description,text,NO,,M1.16
msbf_m1,acquisition_source_profile,1,module1_run_id,bigint,NO,,M1.16
msbf_m1,acquisition_source_profile,2,acquisition_source_code,text,NO,,M1.16
msbf_m1,acquisition_source_profile,3,acquisition_source_name,text,NO,,M1.16
msbf_m1,acquisition_source_profile,4,normalized_source_family,text,NO,,M1.16
msbf_m1,acquisition_source_profile,5,source_subtype,text,NO,,M1.16
msbf_m1,acquisition_source_profile,6,source_classification,text,NO,,M1.16
msbf_m1,acquisition_source_profile,7,accepted_partner_channel_id,text,NO,,M1.16
msbf_m1,acquisition_source_profile,8,accepted_channel_type,text,NO,,M1.16
msbf_m1,acquisition_source_profile,9,source_owner_classification,text,NO,,M1.16
msbf_m1,acquisition_source_profile,10,vendor_partner_code,text,NO,,M1.16
msbf_m1,acquisition_source_profile,11,third_party_flag,boolean,NO,,M1.16
msbf_m1,acquisition_source_profile,12,approved_source_flag,boolean,NO,,M1.16
msbf_m1,acquisition_source_profile,13,governance_status,text,NO,,M1.16
msbf_m1,acquisition_source_profile,14,permitted_attribution_roles,text[],NO,,M1.16
msbf_m1,acquisition_source_profile,15,permitted_cost_basis_codes,text[],NO,,M1.16
msbf_m1,acquisition_source_profile,16,permitted_cost_timing_codes,text[],NO,,M1.16
msbf_m1,acquisition_source_profile,17,default_attribution_priority,smallint,NO,,M1.16
msbf_m1,acquisition_source_profile,18,effective_start_date,date,NO,,M1.16
msbf_m1,acquisition_source_profile,19,effective_end_date,date,YES,,M1.16
msbf_m1,acquisition_source_profile,20,source_evidence_status,text,NO,,M1.16
msbf_m1,acquisition_source_profile,21,configuration_payload,jsonb,NO,,M1.16
msbf_m1,acquisition_source_profile,22,row_hash,text,NO,,M1.16
msbf_m1,acquisition_source_profile,23,created_by_run_id,bigint,NO,,M1.16
msbf_m1,acquisition_source_profile,24,created_at,timestamptz,NO,clock_timestamp(),M1.16
msbf_m1,acquisition_marketing_campaign,1,module1_run_id,bigint,NO,,M1.16
msbf_m1,acquisition_marketing_campaign,2,acquisition_campaign_id,text,NO,,M1.16
msbf_m1,acquisition_marketing_campaign,3,acquisition_source_code,text,NO,,M1.16
msbf_m1,acquisition_marketing_campaign,4,accepted_partner_channel_id,text,NO,,M1.16
msbf_m1,acquisition_marketing_campaign,5,campaign_family_code,text,NO,,M1.16
msbf_m1,acquisition_marketing_campaign,6,campaign_type,text,NO,,M1.16
msbf_m1,acquisition_marketing_campaign,7,campaign_name_synthetic,text,NO,,M1.16
msbf_m1,acquisition_marketing_campaign,8,effective_start_date,date,NO,,M1.16
msbf_m1,acquisition_marketing_campaign,9,effective_end_date,date,NO,,M1.16
msbf_m1,acquisition_marketing_campaign,10,campaign_status,text,NO,,M1.16
msbf_m1,acquisition_marketing_campaign,11,approval_status,text,NO,,M1.16
msbf_m1,acquisition_marketing_campaign,12,audience_segment_code,text,NO,,M1.16
msbf_m1,acquisition_marketing_campaign,13,budget_amount,"numeric(18,2)",NO,,M1.16
msbf_m1,acquisition_marketing_campaign,14,spend_amount,"numeric(18,2)",NO,,M1.16
msbf_m1,acquisition_marketing_campaign,15,owner_classification,text,NO,,M1.16
msbf_m1,acquisition_marketing_campaign,16,vendor_partner_code,text,NO,,M1.16
msbf_m1,acquisition_marketing_campaign,17,always_on_flag,boolean,NO,,M1.16
msbf_m1,acquisition_marketing_campaign,18,campaign_evidence_status,text,NO,,M1.16
msbf_m1,acquisition_marketing_campaign,19,row_hash,text,NO,,M1.16
msbf_m1,acquisition_marketing_campaign,20,created_by_run_id,bigint,NO,,M1.16
msbf_m1,acquisition_marketing_campaign,21,created_at,timestamptz,NO,clock_timestamp(),M1.16
msbf_m1,acquisition_campaign_funnel_stage,1,module1_run_id,bigint,NO,,M1.16
msbf_m1,acquisition_campaign_funnel_stage,2,acquisition_campaign_id,text,NO,,M1.16
