sequence,stage_code,accepted_hash
1,G1_PARAMETER,bd09e598c82db96e47459d77fd11e7c8
2,G1_PROFILE,462cbd2ed92f68e5bdecf6b17537a973
3,G1_SOURCE,93c3d1368fb2450ab4a08e2b721f92d3
4,M1_2,9b706c926260a3ef1ae8ac95eed5d0bf
5,M1_3,01485256b9b5748fb412743d35ced602
6,M1_4,d1971e8d319483c187ec0c0483a31e33
7,M1_5,bbe96dd24fbbba3af4a587dd475a88d0
8,M1_6,3f85921bf6fc30ddc6cee146085e58c5
9,M1_7,de56a458d9ec0b344886850592c4e6c8
10,M1_8,604a5640a25da92a850840dbe13e3d56
11,M1_9,7c25acac533179f42789a6daa79d0cc3
12,M1_10,a91e82a315305a98953d013043a17d9a
13,M1_11,d219b2a0cb6d32f400b1ab71be6521fb
14,M1_12,fb583c3fdd92f141ba5af1ddf942ffba
15,M1_13,11dca65763f4062ad9002244ee6452f9
16,M1_14,3a47f59b56fa158c18c111caa1c64909
17,M1_15,fcd2704e17ec0d2e73191ea36061d74b
18,M1_16,86df51a0ca68d84096d00ff0f1b19f33
