"table_schema","table_name","ordinal_position","column_name","data_type","is_nullable"
msbf_ctl,acceptance_gate_result,1,run_id,bigint,NO
msbf_ctl,acceptance_gate_result,2,gate_id,text,NO
msbf_ctl,acceptance_gate_result,3,review_version,integer,NO
msbf_ctl,acceptance_gate_result,4,result_status,text,NO
msbf_ctl,acceptance_gate_result,5,observed_value,text,YES
msbf_ctl,acceptance_gate_result,6,threshold_value,text,YES
msbf_ctl,acceptance_gate_result,7,finding,text,YES
msbf_ctl,acceptance_gate_result,8,residual_limitation,text,YES
msbf_ctl,acceptance_gate_result,9,reviewer_role,text,NO
msbf_ctl,acceptance_gate_result,10,reviewed_at,timestamp with time zone,NO
msbf_ctl,comparison_registry,1,comparison_id,bigint,NO
msbf_ctl,comparison_registry,2,comparison_code,text,NO
msbf_ctl,comparison_registry,3,comparison_version,integer,NO
msbf_ctl,comparison_registry,4,comparison_name,text,NO
msbf_ctl,comparison_registry,5,baseline_run_id,bigint,NO
msbf_ctl,comparison_registry,6,challenger_run_id,bigint,NO
msbf_ctl,comparison_registry,7,match_key_columns,ARRAY,NO
msbf_ctl,comparison_registry,8,comparison_type,text,NO
msbf_ctl,comparison_registry,9,status,text,NO
msbf_ctl,comparison_registry,10,owner_role,text,NO
msbf_ctl,comparison_registry,11,created_at,timestamp with time zone,NO
msbf_ctl,contract_registry,1,contract_id,bigint,NO
msbf_ctl,contract_registry,2,contract_code,text,NO
msbf_ctl,contract_registry,3,contract_version,integer,NO
msbf_ctl,contract_registry,4,provider_module_code,text,NO
msbf_ctl,contract_registry,5,consumer_module_code,text,NO
msbf_ctl,contract_registry,6,grain_description,text,NO
msbf_ctl,contract_registry,7,key_columns,ARRAY,NO
msbf_ctl,contract_registry,8,required_columns,jsonb,NO
msbf_ctl,contract_registry,9,schema_hash,text,YES
msbf_ctl,contract_registry,10,effective_start_date,date,NO
msbf_ctl,contract_registry,11,effective_end_date,date,YES
msbf_ctl,contract_registry,12,status,text,NO
msbf_ctl,contract_registry,13,owner_role,text,NO
msbf_ctl,data_segregation_profile,1,data_segregation_profile_id,bigint,NO
msbf_ctl,data_segregation_profile,2,profile_code,text,NO
msbf_ctl,data_segregation_profile,3,profile_version,integer,NO
msbf_ctl,data_segregation_profile,4,business_name,text,NO
msbf_ctl,data_segregation_profile,5,effective_start_date,date,NO
msbf_ctl,data_segregation_profile,6,effective_end_date,date,YES
msbf_ctl,data_segregation_profile,7,status,text,NO
msbf_ctl,data_segregation_profile,8,owner_role,text,NO
msbf_ctl,data_segregation_profile,9,approver_role,text,YES
msbf_ctl,data_segregation_profile,10,approval_timestamp,timestamp with time zone,YES
msbf_ctl,data_segregation_profile,11,last_review_date,date,YES
msbf_ctl,data_segregation_profile,12,next_review_date,date,YES
msbf_ctl,data_segregation_profile,13,change_reason,text,YES
msbf_ctl,data_segregation_profile,14,created_at,timestamp with time zone,NO
msbf_ctl,data_segregation_profile,15,created_by,text,NO
msbf_ctl,data_segregation_profile,16,data_domain,text,NO
msbf_ctl,data_segregation_profile,17,restricted_flag,boolean,NO
msbf_ctl,data_segregation_profile,18,permitted_roles,ARRAY,NO
msbf_ctl,data_segregation_profile,19,prohibited_uses,ARRAY,NO
msbf_ctl,data_segregation_profile,20,profile_payload,jsonb,NO
msbf_ctl,experiment_registry,1,experiment_id,bigint,NO
msbf_ctl,experiment_registry,2,experiment_code,text,NO
msbf_ctl,experiment_registry,3,experiment_version,integer,NO
msbf_ctl,experiment_registry,4,experiment_name,text,NO
msbf_ctl,experiment_registry,5,objective,text,NO
msbf_ctl,experiment_registry,6,eligibility_rule,jsonb,NO
msbf_ctl,experiment_registry,7,assignment_seed,text,NO
msbf_ctl,experiment_registry,8,holdout_rate,numeric,NO
msbf_ctl,experiment_registry,9,effective_start_date,date,NO
msbf_ctl,experiment_registry,10,effective_end_date,date,YES
msbf_ctl,experiment_registry,11,status,text,NO
msbf_ctl,experiment_registry,12,owner_role,text,NO
msbf_ctl,experiment_registry,13,acceptance_criteria,jsonb,NO
msbf_ctl,financial_crime_profile,1,financial_crime_profile_id,bigint,NO
msbf_ctl,financial_crime_profile,2,profile_code,text,NO
msbf_ctl,financial_crime_profile,3,profile_version,integer,NO
msbf_ctl,financial_crime_profile,4,business_name,text,NO
msbf_ctl,financial_crime_profile,5,effective_start_date,date,NO
msbf_ctl,financial_crime_profile,6,effective_end_date,date,YES
msbf_ctl,financial_crime_profile,7,status,text,NO
msbf_ctl,financial_crime_profile,8,owner_role,text,NO
msbf_ctl,financial_crime_profile,9,approver_role,text,YES
msbf_ctl,financial_crime_profile,10,approval_timestamp,timestamp with time zone,YES
msbf_ctl,financial_crime_profile,11,last_review_date,date,YES
msbf_ctl,financial_crime_profile,12,next_review_date,date,YES
msbf_ctl,financial_crime_profile,13,change_reason,text,YES
msbf_ctl,financial_crime_profile,14,created_at,timestamp with time zone,NO
