"scenario_code","monitoring_day_index","monitoring_date","persisted_active_advance_count","generation_aligned_active_advance_count","original_acceptance_active_advance_count","persisted_paid_off_count","reproduced_paid_off_count","payoff_event_advance_count"
BASELINE,6,2026-07-31,44,44,43,1,1,1
BASELINE,12,2026-08-06,43,43,42,2,2,1
BASELINE,18,2026-08-12,42,42,41,3,3,1
BASELINE,19,2026-08-13,41,41,40,4,4,1
BASELINE,32,2026-08-26,40,40,37,7,7,3
BASELINE,35,2026-08-29,37,37,36,8,8,1
BASELINE,36,2026-08-30,36,36,34,10,10,2
BASELINE,37,2026-08-31,34,34,33,11,11,1
BASELINE,42,2026-09-05,33,33,32,12,12,1
BASELINE,44,2026-09-07,32,32,31,13,13,1
BASELINE,45,2026-09-08,31,31,30,14,14,1
BASELINE,49,2026-09-12,30,30,28,16,16,2
BASELINE,50,2026-09-13,28,28,27,17,17,1
BASELINE,55,2026-09-18,27,27,26,18,18,1
BASELINE,56,2026-09-19,26,26,24,20,20,2
BASELINE,57,2026-09-20,24,24,22,22,22,2
BASELINE,58,2026-09-21,22,22,20,24,24,2
BASELINE,62,2026-09-25,20,20,19,25,25,1
BASELINE,63,2026-09-26,19,19,17,27,27,2
BASELINE,64,2026-09-27,17,17,16,28,28,1
BASELINE,68,2026-10-01,16,16,15,29,29,1
BASELINE,70,2026-10-03,15,15,13,31,31,2
BASELINE,74,2026-10-07,13,13,12,32,32,1
BASELINE,75,2026-10-08,12,12,11,33,33,1
BASELINE,78,2026-10-11,11,11,10,34,34,1
BASELINE,83,2026-10-16,10,10,8,36,36,2
BASELINE,85,2026-10-18,8,8,7,37,37,1
BASELINE,95,2026-10-28,7,7,6,38,38,1
BASELINE,96,2026-10-29,6,6,5,39,39,1
BASELINE,99,2026-11-01,5,5,3,41,41,2
BASELINE,110,2026-11-12,3,3,2,42,42,1
RECESSION_ENERGY,5,2026-07-30,15,15,14,1,1,1
RECESSION_ENERGY,12,2026-08-06,14,14,13,2,2,1
RECESSION_ENERGY,28,2026-08-22,13,13,12,3,3,1
RECESSION_ENERGY,30,2026-08-24,12,12,11,4,4,1
RECESSION_ENERGY,34,2026-08-28,11,11,10,5,5,1
RECESSION_ENERGY,35,2026-08-29,10,10,9,6,6,1
RECESSION_ENERGY,42,2026-09-05,9,9,8,7,7,1
RECESSION_ENERGY,47,2026-09-10,8,8,7,8,8,1
RECESSION_ENERGY,53,2026-09-16,7,7,6,9,9,1
RECESSION_ENERGY,54,2026-09-17,6,6,5,10,10,1
RECESSION_ENERGY,72,2026-10-05,5,5,4,11,11,1
RECESSION_ENERGY,75,2026-10-08,4,4,3,12,12,1
RECESSION_ENERGY,77,2026-10-10,3,3,2,13,13,1
RECESSION_ENERGY,81,2026-10-14,2,2,1,14,14,1
RECESSION_ENERGY,99,2026-11-01,1,1,0,15,15,1
