"evidence_code","metric_name","status","interpretation"
M2_9_NEG_001_POLICY_STATUS,M2_9_NEG_001_POLICY_STATUS,PASS,"new row for relation ""m2_9_policy_profile"" violates check constraint ""ck_m2_9_policy_status"""
M2_9_NEG_002_CERTIFICATION_BOUNDARY,M2_9_NEG_002_CERTIFICATION_BOUNDARY,PASS,"new row for relation ""m2_9_policy_profile"" violates check constraint ""ck_m2_9_policy_boundaries"""
M2_9_NEG_003_REAL_FUNDS_BOUNDARY,M2_9_NEG_003_REAL_FUNDS_BOUNDARY,PASS,"new row for relation ""m2_9_policy_profile"" violates check constraint ""ck_m2_9_policy_boundaries"""
M2_9_NEG_004_BANK_DATA_BOUNDARY,M2_9_NEG_004_BANK_DATA_BOUNDARY,PASS,"new row for relation ""m2_9_policy_profile"" violates check constraint ""ck_m2_9_policy_boundaries"""
M2_9_NEG_005_NETWORK_BOUNDARY,M2_9_NEG_005_NETWORK_BOUNDARY,PASS,"new row for relation ""m2_9_policy_profile"" violates check constraint ""ck_m2_9_policy_boundaries"""
M2_9_NEG_006_PROCESSOR_BOUNDARY,M2_9_NEG_006_PROCESSOR_BOUNDARY,PASS,"new row for relation ""m2_9_policy_profile"" violates check constraint ""ck_m2_9_policy_boundaries"""
M2_9_NEG_007_OUTCOME_EXECUTION_FLAG,M2_9_NEG_007_OUTCOME_EXECUTION_FLAG,PASS,"new row for relation ""_m2_9_neg_outcome"" violates check constraint ""_m2_9_neg_outcome_check"""
M2_9_NEG_008_ACTION_EXECUTION_FLAG,M2_9_NEG_008_ACTION_EXECUTION_FLAG,PASS,"new row for relation ""_m2_9_neg_action"" violates check constraint ""_m2_9_neg_action_check"""
M2_9_NEG_009_CERTIFICATION_PRODUCTION_STATE,M2_9_NEG_009_CERTIFICATION_PRODUCTION_STATE,PASS,"new row for relation ""_m2_9_neg_cert"" violates check constraint ""_m2_9_neg_cert_production_account_state_flag_check"""
M2_9_NEG_010_DUPLICATE_EVENT_GRAIN,M2_9_NEG_010_DUPLICATE_EVENT_GRAIN,PASS,"duplicate key value violates unique constraint ""_m2_9_neg_grain_pkey"""
M2_9_NEG_011_NEGATIVE_VARIANCE_TOLERANCE,M2_9_NEG_011_NEGATIVE_VARIANCE_TOLERANCE,PASS,"new row for relation ""_m2_9_neg_tolerance"" violates check constraint ""_m2_9_neg_tolerance_tolerance_amount_check"""
M2_9_NEG_012_INVALID_EXCEPTION_STATUS,M2_9_NEG_012_INVALID_EXCEPTION_STATUS,PASS,"new row for relation ""_m2_9_neg_exception"" violates check constraint ""_m2_9_neg_exception_exception_status_code_check"""
M2_9_NEG_013_CONFLICTING_CERTIFICATION_FLAGS,M2_9_NEG_013_CONFLICTING_CERTIFICATION_FLAGS,PASS,"new row for relation ""_m2_9_neg_cert_flags"" violates check constraint ""_m2_9_neg_cert_flags_check"""
M2_9_NEG_014_ARCHIVE_UPDATE,M2_9_NEG_014_ARCHIVE_UPDATE,PASS,M2.9 reconciliation certification archive is immutable; UPDATE is not permitted.
M2_9_NEG_015_ARCHIVE_DELETE,M2_9_NEG_015_ARCHIVE_DELETE,PASS,M2.9 reconciliation certification archive is immutable; DELETE is not permitted.
M2_9_NEG_016_POST_GENERATION_RERUN,M2_9_NEG_016_POST_GENERATION_RERUN,PASS,M2.9 generation requires M2_8_ACCEPTED; observed M2_9_VALIDATED.
M2_9_NEG_017_PREMATURE_ACCEPTANCE,M2_9_NEG_017_PREMATURE_ACCEPTANCE,PASS,"M2.9 acceptance not ready: run M2_9_VALIDATED, contract VALIDATED, positive 120, negative 0."
M2_9_NEG_018_SOURCE_HASH_DRIFT,M2_9_NEG_018_SOURCE_HASH_DRIFT,PASS,M2.9 configuration assertion failed for run_id 1.
M2_9_NEG_019_BANK_PROCESSOR_PAYLOAD,M2_9_NEG_019_BANK_PROCESSOR_PAYLOAD,PASS,M2.9 rejected prohibited reconciliation payload key routing_number.
M2_9_NEG_020_FUNDS_CONTACT_NOTICE_PAYLOAD,M2_9_NEG_020_FUNDS_CONTACT_NOTICE_PAYLOAD,PASS,M2.9 rejected prohibited reconciliation payload key real_funds_moved.
