"evidence_code","metric_name","status","interpretation"
M2_10_NEG_001_POLICY_STATUS,M2_10_NEG_001_POLICY_STATUS,PASS,"new row for relation ""m2_10_policy_profile"" violates check constraint ""ck_m2_10_policy_status"""
M2_10_NEG_002_ANALYTICS_BOUNDARY,M2_10_NEG_002_ANALYTICS_BOUNDARY,PASS,"new row for relation ""m2_10_policy_profile"" violates check constraint ""ck_m2_10_policy_boundary"""
M2_10_NEG_003_DECISION_BOUNDARY,M2_10_NEG_003_DECISION_BOUNDARY,PASS,"new row for relation ""m2_10_policy_profile"" violates check constraint ""ck_m2_10_policy_boundary"""
M2_10_NEG_004_FUNDS_BOUNDARY,M2_10_NEG_004_FUNDS_BOUNDARY,PASS,"new row for relation ""m2_10_policy_profile"" violates check constraint ""ck_m2_10_policy_boundary"""
M2_10_NEG_005_SYSTEM_BOUNDARY,M2_10_NEG_005_SYSTEM_BOUNDARY,PASS,"new row for relation ""m2_10_policy_profile"" violates check constraint ""ck_m2_10_policy_boundary"""
M2_10_NEG_006_CONTACT_BOUNDARY,M2_10_NEG_006_CONTACT_BOUNDARY,PASS,"new row for relation ""m2_10_policy_profile"" violates check constraint ""ck_m2_10_policy_boundary"""
M2_10_NEG_007_REASON_PRODUCTION_ACTION,M2_10_NEG_007_REASON_PRODUCTION_ACTION,PASS,"new row for relation ""_m2_10_neg_reason"" violates check constraint ""_m2_10_neg_reason_production_action_flag_check"""
M2_10_NEG_008_NEGATIVE_TIER_BURDEN,M2_10_NEG_008_NEGATIVE_TIER_BURDEN,PASS,"new row for relation ""_m2_10_neg_burden"" violates check constraint ""_m2_10_neg_burden_burden_units_check"""
M2_10_NEG_009_NEGATIVE_QUEUE_BURDEN,M2_10_NEG_009_NEGATIVE_QUEUE_BURDEN,PASS,"new row for relation ""_m2_10_neg_queue_burden"" violates check constraint ""_m2_10_neg_queue_burden_burden_units_check"""
M2_10_NEG_010_DUPLICATE_KPI_GRAIN,M2_10_NEG_010_DUPLICATE_KPI_GRAIN,PASS,"duplicate key value violates unique constraint ""_m2_10_neg_kpi_grain_pkey"""
M2_10_NEG_011_NULL_KPI_VALUE,M2_10_NEG_011_NULL_KPI_VALUE,PASS,"new row for relation ""_m2_10_neg_kpi_value"" violates check constraint ""_m2_10_neg_kpi_value_check"""
M2_10_NEG_012_INVALID_KPI_APPLICABILITY,M2_10_NEG_012_INVALID_KPI_APPLICABILITY,PASS,"new row for relation ""_m2_10_neg_kpi_applicability"" violates check constraint ""_m2_10_neg_kpi_applicability_check"""
M2_10_NEG_013_INVALID_SCOPE_COUNTS,M2_10_NEG_013_INVALID_SCOPE_COUNTS,PASS,"new row for relation ""_m2_10_neg_scope"" violates check constraint ""_m2_10_neg_scope_check"""
M2_10_NEG_014_ARCHIVE_UPDATE,M2_10_NEG_014_ARCHIVE_UPDATE,PASS,M2.10 portfolio performance archive is immutable; UPDATE is not permitted.
M2_10_NEG_015_ARCHIVE_DELETE,M2_10_NEG_015_ARCHIVE_DELETE,PASS,M2.10 portfolio performance archive is immutable; DELETE is not permitted.
M2_10_NEG_016_POST_GENERATION_RERUN,M2_10_NEG_016_POST_GENERATION_RERUN,PASS,M2.10 generation requires M2_9_ACCEPTED; observed M2_10_VALIDATED.
M2_10_NEG_017_PREMATURE_ACCEPTANCE,M2_10_NEG_017_PREMATURE_ACCEPTANCE,PASS,"M2.10 acceptance not ready; run M2_10_VALIDATED, contract VALIDATED, positive 120, negative 0."
M2_10_NEG_018_SOURCE_HASH_DRIFT,M2_10_NEG_018_SOURCE_HASH_DRIFT,PASS,M2.10 configuration assertion failed for run_id 1.
M2_10_NEG_019_PRODUCTION_DECISION_PAYLOAD,M2_10_NEG_019_PRODUCTION_DECISION_PAYLOAD,PASS,M2.10 rejected prohibited analytics payload key production_decision.
M2_10_NEG_020_EXECUTION_PAYLOAD,M2_10_NEG_020_EXECUTION_PAYLOAD,PASS,M2.10 rejected prohibited analytics payload key real_funds_moved.
