"result_set_code","catalog_sequence","object_code","expected_row_count","physical_row_count","row_count_match_flag","registry_set_hash","reconstructed_set_hash","set_hash_match_flag","contract_set_hash","combined_set_hash","registry_row_hash","canonical_entities","contract_status","accepted_at"
M2_11_DETAIL_19_REGISTRY_AND_CANONICAL_HASHES,1,msbf_ctl.m2_11_policy_profile,1,1,true,"41286d09064376936f83eb9511385537","41286d09064376936f83eb9511385537",true,"19f1a9d842c9cb35617ca03e49445aad",a67d375b9f9248b3eec8160cf3dc656d,"61c22f4f3f2e99905d05958fddf80671",19298,ACCEPTED,2026-08-06 16:33:26.071 -0400
M2_11_DETAIL_19_REGISTRY_AND_CANONICAL_HASHES,2,msbf_m2.portfolio_strategy_profile,8,8,true,efe0b017e9475bebcaa8394c2cda0f16,efe0b017e9475bebcaa8394c2cda0f16,true,"19f1a9d842c9cb35617ca03e49445aad",a67d375b9f9248b3eec8160cf3dc656d,"61c22f4f3f2e99905d05958fddf80671",19298,ACCEPTED,2026-08-06 16:33:26.071 -0400
M2_11_DETAIL_19_REGISTRY_AND_CANONICAL_HASHES,3,msbf_m2.portfolio_strategy_objective_definition,8,8,true,c4419b031c88f732341528b686dbf664,c4419b031c88f732341528b686dbf664,true,"19f1a9d842c9cb35617ca03e49445aad",a67d375b9f9248b3eec8160cf3dc656d,"61c22f4f3f2e99905d05958fddf80671",19298,ACCEPTED,2026-08-06 16:33:26.071 -0400
M2_11_DETAIL_19_REGISTRY_AND_CANONICAL_HASHES,4,msbf_m2.portfolio_strategy_constraint_definition,12,12,true,c59bb5b9657153cd86bdd638842a1a8d,c59bb5b9657153cd86bdd638842a1a8d,true,"19f1a9d842c9cb35617ca03e49445aad",a67d375b9f9248b3eec8160cf3dc656d,"61c22f4f3f2e99905d05958fddf80671",19298,ACCEPTED,2026-08-06 16:33:26.071 -0400
M2_11_DETAIL_19_REGISTRY_AND_CANONICAL_HASHES,5,msbf_m2.portfolio_strategy_reason_definition,32,32,true,d4654b25ebcabf817cc346165afe18b1,d4654b25ebcabf817cc346165afe18b1,true,"19f1a9d842c9cb35617ca03e49445aad",a67d375b9f9248b3eec8160cf3dc656d,"61c22f4f3f2e99905d05958fddf80671",19298,ACCEPTED,2026-08-06 16:33:26.071 -0400
M2_11_DETAIL_19_REGISTRY_AND_CANONICAL_HASHES,6,msbf_m2.portfolio_strategy_application_source_snapshot,1500,1500,true,"3df46d87305114715988fa7ecba38669","3df46d87305114715988fa7ecba38669",true,"19f1a9d842c9cb35617ca03e49445aad",a67d375b9f9248b3eec8160cf3dc656d,"61c22f4f3f2e99905d05958fddf80671",19298,ACCEPTED,2026-08-06 16:33:26.071 -0400
M2_11_DETAIL_19_REGISTRY_AND_CANONICAL_HASHES,7,msbf_m2.portfolio_strategy_candidate_source_snapshot,557,557,true,aafdf4bfe5de1a8755f1bdc87b33194d,aafdf4bfe5de1a8755f1bdc87b33194d,true,"19f1a9d842c9cb35617ca03e49445aad",a67d375b9f9248b3eec8160cf3dc656d,"61c22f4f3f2e99905d05958fddf80671",19298,ACCEPTED,2026-08-06 16:33:26.071 -0400
M2_11_DETAIL_19_REGISTRY_AND_CANONICAL_HASHES,8,msbf_m2.portfolio_strategy_account_source_snapshot,59,59,true,"82fddedd7f63ae212a633e2e483a61df","82fddedd7f63ae212a633e2e483a61df",true,"19f1a9d842c9cb35617ca03e49445aad",a67d375b9f9248b3eec8160cf3dc656d,"61c22f4f3f2e99905d05958fddf80671",19298,ACCEPTED,2026-08-06 16:33:26.071 -0400
M2_11_DETAIL_19_REGISTRY_AND_CANONICAL_HASHES,9,msbf_m2.portfolio_strategy_kpi_source_snapshot,72,72,true,"6811a406c1740528d3712e63c55bd150","6811a406c1740528d3712e63c55bd150",true,"19f1a9d842c9cb35617ca03e49445aad",a67d375b9f9248b3eec8160cf3dc656d,"61c22f4f3f2e99905d05958fddf80671",19298,ACCEPTED,2026-08-06 16:33:26.071 -0400
M2_11_DETAIL_19_REGISTRY_AND_CANONICAL_HASHES,10,msbf_m2.portfolio_strategy_queue_source_snapshot,3,3,true,"8002b9cdc0eaee2cb87e47beb1892aaf","8002b9cdc0eaee2cb87e47beb1892aaf",true,"19f1a9d842c9cb35617ca03e49445aad",a67d375b9f9248b3eec8160cf3dc656d,"61c22f4f3f2e99905d05958fddf80671",19298,ACCEPTED,2026-08-06 16:33:26.071 -0400
