result_set_sequence,result_set_code,source_filename,normalized_filename,expected_rows,observed_rows,column_count,header_present,cardinality_status,sha256
1,LIFECYCLE_AND_G3_ACCEPTANCE,MSBF_M2_12_Enterprise_Portfolio_Certification_&_Consumption_Contract_Detail_Report_v1_Lifecycle_And_G3_Acceptance_20260812.csv,RS01_LIFECYCLE_AND_G3_ACCEPTANCE_20260812.csv,1,1,12,PASS,PASS,20cc0be0fa27ee49d74dc2bd81dfb7536d025e974b31b5d3198aad8f1d49d375
2,POLICY_AND_EXPECTED_COUNTS,MSBF_M2_12_Enterprise_Portfolio_Certification_&_Consumption_Contract_Detail_Report_v1_M2_12_Policy_And_Expected_Counts_20260812.csv,RS02_POLICY_AND_EXPECTED_COUNTS_20260812.csv,1,1,11,PASS,PASS,ee7d98d2f31a08229923114924853660678085d572ee8e8d78d8569eaf06d153
3,M1_17_G2_SOURCE_IDENTITY,MSBF_M2_12_Enterprise_Portfolio_Certification_&_Consumption_Contract_Detail_Report_v1_M1_17_G2_Source_Identity_20260812.csv,RS03_M1_17_G2_SOURCE_IDENTITY_20260812.csv,1,1,12,PASS,PASS,5946acb885a63b66bbb0804daa7b453f39e6c7af21a7a5a7e2a2891cff97add5
4,SOURCE_NODE_CERTIFICATION,MSBF_M2_12_Enterprise_Portfolio_Certification_&_Consumption_Contract_Detail_Report_v1_Twelve_Source_Node_Certification_Rows_20260812.csv,RS04_SOURCE_NODE_CERTIFICATION_20260812.csv,12,12,13,PASS,PASS,26b193b05d1066471532d96d3a0774252f00642dddb33c6f7299be3cdf421171
5,COMPONENT_CONTRACTS,MSBF_M2_12_Enterprise_Portfolio_Certification_&_Consumption_Contract_Detail_Report_v1_Thirteen_Component_Contracts_20260812.csv,RS05_COMPONENT_CONTRACTS_20260812.csv,13,13,17,PASS,PASS,1b87020c169b9db530f741b7a6932d1968358c6384d7ad9ae11c3ec2f9567e0b
6,SOURCE_GRAPH_EDGES,MSBF_M2_12_Enterprise_Portfolio_Certification_&_Consumption_Contract_Detail_Report_v1_Complete_Nineteen_Edge_Source_Graph_20260812.csv,RS06_SOURCE_GRAPH_EDGES_20260812.csv,19,19,13,PASS,PASS,e865682bd6f2039d095587a2b3ec409b80d330d4b7428fcd3a6eed0a5cda1401
7,EVIDENCE_CERTIFICATION,MSBF_M2_12_Enterprise_Portfolio_Certification_&_Consumption_Contract_Detail_Report_v1_Seventy_Two_Evidence_Certification_Rows_20260812.csv,RS07_EVIDENCE_CERTIFICATION_20260812.csv,72,72,15,PASS,PASS,52519aecaeae312b0a36b3ab2d4e44d2c6f3dcedbf736902843cadcf1001cce3
8,COMPONENT_LATEST_ARCHIVE_INVENTORY,MSBF_M2_12_Enterprise_Portfolio_Certification_&_Consumption_Contract_Detail_Report_v1_Component_Latest_Archive_Inventory_20260812.csv,RS08_COMPONENT_LATEST_ARCHIVE_INVENTORY_20260812.csv,13,13,12,PASS,PASS,6a64b33a5892f25a20a22ffc7a308bfb8077f066a79af0ca4fbe6ed0282e9d8a
9,CONTRACT_REPRODUCTION,MSBF_M2_12_Enterprise_Portfolio_Certification_&_Consumption_Contract_Detail_Report_v1_Contract_Reproduction_20260812.csv,RS09_CONTRACT_REPRODUCTION_20260812.csv,13,13,14,PASS,PASS,cffc1567ede90168c69397d66f1479a051ad26593d554cef552e6cb2358d9d6c
10,APPLICATION_CONSUMPTION_SUMMARY,MSBF_M2_12_Enterprise_Portfolio_Certification_&_Consumption_Contract_Detail_Report_v1_Application_Consumption_Summary_20260812.csv,RS10_APPLICATION_CONSUMPTION_SUMMARY_20260812.csv,3,3,7,PASS,PASS,8c30821d4a800407164d0cc12a7aae3348eb7e90c22f2248a928164daf66443c
